,Player,Tackles,Inter,Fouls,Clear,Blocks,OwnG,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Marco Festa,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,81.5,0.0,9.0,0.0
1,Cristiano Ronaldo,0.2,0.2,0.5,0.5,0.1,0.0,29.0,3.0,5.1,1.1,1.8,1.3,0.9,1.0,1.9,3.0,1.1,29.9,82.1,0.4,0.5,0.1
2,Zlatan Ibrahimovic,0.3,0.3,1.7,1.4,0.2,0.0,15.0,2.0,4.3,1.1,0.6,1.3,2.1,0.6,1.7,2.0,1.1,27.5,72.0,0.1,0.6,0.1
3,Lorenzo Insigne,0.7,1.1,0.3,0.1,0.0,0.0,19.0,7.0,4.1,1.8,1.9,1.1,0.3,1.0,1.8,7.0,1.8,48.7,83.7,0.7,3.2,0.2
4,Romelu Lukaku,0.3,0.1,0.9,0.9,0.0,0.0,24.0,11.0,2.7,1.4,1.5,1.3,0.5,1.4,2.6,11.0,1.4,20.4,72.5,0.1,0.4,0.1
5,Domenico Berardi,1.4,0.9,1.4,1.0,0.0,0.0,17.0,7.0,3.8,1.9,1.0,2.0,0.1,1.0,1.8,7.0,1.9,39.4,80.5,1.0,2.0,0.2
6,Rodrigo de Paul,1.1,0.5,0.9,0.3,0.0,0.0,9.0,9.0,2.3,2.3,3.4,3.5,0.0,1.6,2.6,9.0,2.3,51.1,79.8,2.0,4.5,0.2
7,Adam Ounas,0.6,0.2,0.7,0.1,0.1,0.0,4.0,3.0,1.7,1.4,3.8,2.1,0.6,1.5,2.5,3.0,1.4,30.2,83.0,0.5,2.3,0.2
8,Henrikh Mkhitaryan,1.7,1.1,1.1,0.2,0.0,0.0,13.0,10.0,2.4,1.4,1.4,1.4,0.3,0.7,1.5,10.0,1.4,33.9,78.5,0.4,0.9,0.2
9,Sergej Milinkovic-Savic,1.8,1.0,1.8,1.3,0.4,0.0,8.0,9.0,2.0,1.3,0.9,1.6,0.3,1.4,2.5,9.0,1.3,54.1,78.7,0.5,3.7,0.0
10,Theo Hernández,1.5,1.0,1.2,1.5,0.2,0.0,7.0,5.0,1.4,1.3,2.2,2.5,0.2,0.8,1.9,5.0,1.3,48.0,83.1,0.5,1.9,0.0
11,Papu Gómez,0.3,0.1,1.0,0.1,0.1,0.0,4.0,2.0,2.9,1.9,1.5,1.9,0.0,1.0,1.1,2.0,1.9,40.0,84.8,1.1,2.6,0.1
12,Hakan Calhanoglu,0.8,0.5,0.9,0.5,0.2,0.0,4.0,9.0,2.5,3.0,1.1,1.3,0.1,1.1,2.3,9.0,3.0,41.7,84.1,2.2,2.3,0.0
13,Luis Muriel,0.6,0.2,0.5,0.1,0.0,0.0,22.0,9.0,2.4,1.3,1.5,0.6,0.1,1.4,1.6,9.0,1.3,17.4,74.9,0.6,0.5,0.0
14,Federico Chiesa,2.0,0.3,0.7,0.7,0.3,0.0,1.0,1.0,3.3,1.7,2.0,1.0,0.7,1.7,1.7,1.0,1.7,29.3,79.5,1.3,2.0,0.0
15,Andrea Belotti,0.9,0.3,1.7,0.5,0.1,0.0,13.0,6.0,3.1,1.1,1.3,3.9,0.6,1.2,3.1,6.0,1.1,19.6,69.5,0.1,0.7,0.2
16,Lorenzo Pellegrini,1.2,1.3,1.3,0.6,0.1,0.0,7.0,6.0,2.1,1.9,1.3,1.5,0.2,0.6,2.0,6.0,1.9,38.2,82.0,1.7,1.9,0.2
17,Junior Messias,1.7,1.0,0.9,1.1,0.3,0.0,9.0,4.0,2.7,0.9,2.9,2.6,0.1,1.6,3.1,4.0,0.9,29.6,78.5,0.7,1.4,0.0
18,Federico Chiesa,1.6,0.4,1.0,0.5,0.0,0.0,8.0,8.0,2.0,1.5,1.6,1.2,0.4,0.8,1.3,8.0,1.5,23.1,80.4,0.7,1.0,0.1
19,Rafael,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,0.3,32.3,71.1,0.0,6.7,0.0
20,Robin Gosens,1.4,1.3,1.6,1.0,0.2,1.0,11.0,6.0,1.6,0.9,0.8,0.8,0.3,0.5,1.3,6.0,0.9,43.1,81.8,0.6,1.1,0.0
21,Lautaro Martínez,0.7,0.7,1.7,0.3,0.0,0.0,17.0,6.0,2.9,1.0,0.9,1.6,0.3,0.9,2.4,6.0,1.0,14.5,68.4,0.1,0.6,0.0
22,Juan Cuadrado,1.4,1.4,1.1,0.5,0.1,0.0,2.0,10.0,0.6,2.0,1.5,2.2,0.1,0.7,1.6,10.0,2.0,49.4,87.7,1.4,2.8,0.0
23,Ruslan Malinovskiy,0.5,0.1,1.3,0.1,0.0,0.0,8.0,12.0,1.9,2.2,1.4,1.5,0.0,1.3,1.8,12.0,2.2,27.6,80.1,1.2,1.5,0.2
24,Piotr Zielinski,0.5,0.5,0.3,0.3,0.1,0.0,8.0,10.0,1.7,1.6,1.6,1.3,0.2,0.9,1.4,10.0,1.6,32.6,85.9,0.6,1.6,0.1
25,Ciro Immobile,0.4,0.2,1.1,0.2,0.0,0.0,20.0,6.0,3.4,1.5,0.8,1.3,0.9,1.0,2.0,6.0,1.5,24.7,74.0,0.1,0.6,0.1
26,Franck Kessié,1.4,1.2,1.8,1.3,0.4,0.0,13.0,4.0,1.3,0.8,1.2,1.1,0.0,1.1,1.4,4.0,0.8,53.9,88.9,0.1,2.8,0.0
27,Cristian Romero,2.0,3.1,2.3,2.2,0.4,0.0,2.0,2.0,0.5,0.3,0.2,1.0,0.0,0.2,0.5,2.0,0.3,42.2,86.2,0.0,2.3,0.0
28,Giovanni Di Lorenzo,2.2,1.0,1.4,1.4,0.4,0.0,3.0,6.0,0.8,1.4,0.8,1.7,0.1,0.4,0.9,6.0,1.4,60.8,86.9,0.4,2.3,0.1
29,Josip Ilicic,0.3,0.1,0.8,0.0,0.0,0.0,6.0,9.0,2.1,2.2,2.0,2.5,0.3,1.6,2.6,9.0,2.2,32.2,77.5,1.0,2.1,0.2
30,Luis Alberto,1.3,0.4,0.6,0.3,0.1,0.0,9.0,2.0,2.0,2.4,1.5,1.1,0.1,1.1,1.4,2.0,2.4,51.7,81.9,0.9,2.6,0.2
31,Victor Osimhen,0.9,0.3,1.4,0.4,0.0,0.0,10.0,3.0,2.8,1.0,0.5,1.5,0.8,0.7,1.9,3.0,1.0,9.8,71.5,0.1,0.2,0.0
32,Manuel Locatelli,2.4,1.5,1.5,1.7,0.4,0.0,4.0,2.0,1.2,1.1,0.8,1.4,0.0,1.0,1.3,2.0,1.1,80.9,88.3,0.3,4.9,0.0
33,Andrea Ranocchia,1.6,1.5,1.6,2.4,0.4,0.0,0.0,1.0,1.1,0.4,0.0,0.9,0.1,0.1,0.4,1.0,0.4,61.8,94.3,0.0,2.5,0.0
34,Gianluca Pegolo,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,95.0,0.0,0.0,0.0
35,Duván Zapata,0.3,0.2,0.8,0.5,0.1,0.0,15.0,9.0,2.7,1.1,0.9,1.3,0.6,1.8,3.1,9.0,1.1,20.6,79.5,0.2,0.3,0.0
36,Diego Godín,2.1,2.0,1.1,4.0,0.9,0.0,1.0,0.0,0.4,0.3,0.6,1.0,0.1,0.1,0.3,0.0,0.3,55.2,83.6,0.0,4.7,0.0
37,Davide Calabria,3.2,1.2,1.0,2.2,0.3,1.0,2.0,1.0,0.8,0.7,0.6,1.1,0.1,0.4,0.9,1.0,0.7,46.5,79.2,0.5,3.0,0.0
38,Marcelo Brozovic,1.6,1.2,1.0,1.1,0.5,0.0,2.0,6.0,0.8,1.4,0.3,0.4,0.0,0.5,0.8,6.0,1.4,66.7,89.6,1.0,4.3,0.1
39,Danilo,1.8,1.9,0.7,1.8,0.4,0.0,1.0,4.0,0.6,0.7,0.6,0.6,0.1,0.3,0.5,4.0,0.7,67.2,88.9,0.4,3.1,0.1
40,Karlo Letica,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,85.2,0.0,4.0,0.0
41,Milan Badelj,1.9,2.9,1.1,1.4,0.3,0.0,1.0,4.0,0.6,1.0,1.2,1.1,0.0,0.7,1.0,4.0,1.0,52.4,82.1,0.1,4.2,0.0
42,Simon Kjaer,1.6,1.5,0.9,4.3,0.9,0.0,0.0,2.0,0.6,0.3,0.0,0.4,0.0,0.0,0.4,2.0,0.3,52.8,88.0,0.0,4.2,0.0
43,Paulo Dybala,0.7,0.1,0.5,0.1,0.0,0.0,4.0,3.0,2.6,1.5,1.4,1.5,0.2,0.9,1.8,3.0,1.5,31.7,87.8,0.9,1.5,0.1
44,João Pedro,0.4,0.4,1.2,0.7,0.2,0.0,16.0,3.0,2.1,1.0,1.1,2.6,0.3,0.9,2.0,3.0,1.0,24.7,74.3,0.1,1.2,0.0
45,Remo Freuler,1.9,1.1,1.1,0.7,0.1,0.0,2.0,3.0,0.6,0.9,1.1,0.9,0.0,0.9,1.5,3.0,0.9,61.1,89.0,0.1,2.5,0.0
46,Ignacio Pussetto,1.5,1.2,1.6,0.5,0.0,0.0,3.0,1.0,1.5,0.7,1.4,0.9,0.6,2.1,1.9,1.0,0.7,15.2,67.7,0.1,0.3,0.0
47,Ante Rebic,1.0,0.3,1.2,0.6,0.0,0.0,11.0,4.0,1.6,1.3,0.7,0.5,0.4,1.1,2.4,4.0,1.3,14.8,67.7,0.5,0.3,0.1
48,Fabián Ruiz,1.8,1.1,0.3,0.9,0.1,0.0,3.0,1.0,1.3,1.2,0.8,0.8,0.0,0.6,0.7,1.0,1.2,63.0,90.2,0.2,5.2,0.0
49,Leonardo Spinazzola,0.4,0.9,0.3,1.0,0.0,1.0,2.0,4.0,0.8,1.4,2.2,0.4,0.1,0.3,1.1,4.0,1.4,38.3,80.6,0.9,2.1,0.1
50,Achraf Hakimi,1.4,0.6,0.8,0.4,0.0,0.0,7.0,8.0,1.1,1.0,0.9,1.0,0.2,0.5,1.5,8.0,1.0,32.7,84.5,0.8,0.9,0.0
51,Marten de Roon,2.3,2.0,1.9,1.1,0.3,0.0,1.0,1.0,0.5,0.5,0.3,0.7,0.0,0.3,0.5,1.0,0.5,61.8,85.5,0.1,4.0,0.0
52,Hirving Lozano,0.9,0.6,1.0,0.2,0.0,0.0,11.0,3.0,1.8,1.1,0.9,2.2,0.3,0.7,1.7,3.0,1.1,16.7,76.6,0.4,0.3,0.0
53,Juraj Kucka ,2.4,1.0,2.3,0.8,0.1,0.0,7.0,2.0,2.1,0.6,1.1,2.5,0.1,1.1,1.7,2.0,0.6,32.3,72.4,0.2,1.1,0.1
54,Fikayo Tomori,1.6,1.1,0.8,3.5,1.2,0.0,1.0,0.0,0.3,0.0,0.2,0.1,0.0,0.1,0.5,0.0,0.0,53.6,88.7,0.0,2.8,0.0
55,Nicolò Barella,1.6,0.7,1.2,0.3,0.1,0.0,3.0,7.0,1.0,1.3,1.0,1.5,0.1,0.8,1.8,7.0,1.3,51.1,84.9,0.4,2.2,0.1
56,Alex Sandro,1.4,1.2,1.0,2.0,0.2,1.0,2.0,1.0,0.5,0.7,0.8,1.1,0.0,0.4,0.9,1.0,0.7,48.3,87.7,0.5,2.5,0.0
57,Rodrigo Bentancur,1.9,1.4,1.4,1.2,0.4,0.0,0.0,4.0,0.5,0.9,1.1,0.8,0.1,0.5,0.9,4.0,0.9,55.0,89.8,0.3,3.2,0.0
58,Vlad Chiriches,1.6,2.1,1.3,2.3,0.9,1.0,2.0,1.0,0.5,0.3,0.5,0.6,0.0,0.2,0.5,1.0,0.3,66.7,93.7,0.0,2.3,0.0
59,Roberto Soriano,1.3,0.5,2.0,1.1,0.2,0.0,9.0,6.0,1.6,1.4,1.0,1.3,0.1,0.8,1.7,6.0,1.4,39.4,82.9,0.2,1.1,0.1
60,Marco Faraoni,1.9,1.4,1.4,2.2,0.5,0.0,4.0,7.0,1.0,0.7,0.6,1.1,0.3,0.4,1.4,7.0,0.7,34.3,71.6,0.4,2.3,0.0
61,Daniel Fuzato,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,68.6,0.0,3.8,0.0
62,Álvaro Morata,0.5,0.2,1.2,0.7,0.1,0.0,11.0,9.0,1.8,1.3,0.7,1.4,0.6,1.3,2.3,9.0,1.3,18.0,76.5,0.2,0.5,0.1
63,Andrea Consigli,0.1,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,31.9,78.8,0.0,4.4,0.0
64,Edin Dzeko,0.3,0.0,0.9,0.4,0.1,0.0,7.0,3.0,2.6,1.1,1.0,1.4,0.4,1.1,2.1,3.0,1.1,18.0,68.8,0.1,0.7,0.0
65,Berat Djimsiti,1.2,1.9,0.9,2.5,0.6,0.0,0.0,2.0,0.6,0.6,0.3,0.8,0.0,0.3,0.8,2.0,0.6,52.6,87.4,0.1,2.2,0.0
66,Omar Colley,1.0,2.3,1.2,4.6,1.0,0.0,2.0,0.0,0.4,0.1,0.1,0.8,0.0,0.0,0.3,0.0,0.1,46.6,81.1,0.0,4.4,0.0
67,Federico Dimarco,0.9,1.3,0.9,1.3,0.3,0.0,5.0,3.0,1.1,2.1,0.3,1.4,0.2,0.3,0.8,3.0,2.1,42.1,75.7,2.1,2.5,0.0
68,Dusan Vlahovic,0.4,0.1,1.4,0.4,0.1,0.0,21.0,3.0,2.3,0.5,0.7,1.9,0.7,2.4,2.9,3.0,0.5,16.1,66.3,0.0,0.4,0.0
69,Adrien Rabiot,2.1,1.3,1.3,0.8,0.3,0.0,4.0,2.0,1.0,0.3,1.1,0.6,0.0,0.4,1.1,2.0,0.3,41.6,90.8,0.1,1.2,0.0
70,Joaquín Correa,0.8,0.3,0.9,0.4,0.0,0.0,8.0,3.0,1.9,1.0,1.3,1.9,0.1,1.3,2.3,3.0,1.0,24.4,83.2,0.1,0.9,0.0
71,Milan Skriniar,1.5,0.9,1.1,2.7,0.6,0.0,3.0,0.0,0.5,0.3,0.2,0.8,0.0,0.4,0.6,0.0,0.3,67.5,92.2,0.1,2.6,0.0
72,Gianluca Mancini,1.6,2.2,2.0,2.2,0.6,0.0,4.0,2.0,0.8,0.2,0.5,0.8,0.0,0.2,0.4,2.0,0.2,59.8,88.2,0.1,3.3,0.0
73,Mattia Zaccagni,0.8,0.8,1.0,0.3,0.1,0.0,5.0,5.0,0.9,1.1,1.7,3.0,0.3,1.8,2.1,5.0,1.1,23.7,74.1,0.3,0.9,0.0
74,Stefan de Vrij,0.9,1.3,0.6,2.9,0.6,0.0,1.0,0.0,0.4,0.2,0.2,0.3,0.0,0.1,0.2,0.0,0.2,61.3,93.8,0.0,2.7,0.0
75,Dries Mertens,0.6,0.3,0.5,0.1,0.0,0.0,9.0,8.0,1.9,1.2,0.4,0.3,0.2,0.2,0.6,8.0,1.2,14.6,80.3,0.4,0.3,0.0
76,Morten Thorsby,2.3,0.8,2.2,0.8,0.5,0.0,3.0,1.0,0.7,0.5,0.4,0.7,0.1,0.5,1.2,1.0,0.5,29.2,74.9,0.0,0.5,0.0
77,Rafael Leão,0.4,0.1,0.9,0.4,0.0,0.0,6.0,6.0,1.4,0.9,1.3,0.7,0.1,0.5,1.8,6.0,0.9,15.3,75.7,0.2,0.2,0.0
78,Guglielmo Vicario,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,22.3,62.9,0.0,7.3,0.0
79,Simone Bastoni,2.3,0.7,1.6,1.3,0.0,0.0,1.0,6.0,1.0,1.3,1.1,1.2,0.1,0.9,1.3,6.0,1.3,37.9,76.6,1.3,2.4,0.0
80,Kalidou Koulibaly,1.4,1.1,1.1,2.2,1.0,0.0,0.0,0.0,0.4,0.2,0.7,0.3,0.0,0.2,0.3,0.0,0.2,67.8,88.7,0.1,4.8,0.0
81,Bremer,1.5,2.1,0.9,4.1,0.6,0.0,5.0,0.0,0.8,0.2,0.2,0.5,0.0,0.2,0.7,0.0,0.2,50.2,82.7,0.0,3.5,0.0
82,Ibañez,2.0,2.3,1.8,2.6,0.6,1.0,0.0,1.0,0.5,0.4,0.5,1.0,0.0,0.3,0.8,1.0,0.4,56.6,86.9,0.0,3.2,0.0
83,Alessandro Bastoni,1.1,1.2,1.2,2.2,0.5,0.0,0.0,3.0,0.3,0.4,0.4,0.8,0.0,0.2,0.6,3.0,0.4,68.0,90.5,0.1,4.6,0.0
84,Francesco Acerbi,1.6,2.4,1.0,3.6,0.5,0.0,0.0,1.0,0.3,0.3,0.2,0.8,0.1,0.3,0.7,1.0,0.3,63.7,89.4,0.3,5.3,0.0
85,Antonio Sanabria,0.6,0.4,1.2,0.6,0.0,0.0,5.0,1.0,1.4,0.5,0.8,0.9,0.2,1.4,2.1,1.0,0.5,18.4,75.1,0.1,0.7,0.0
86,Matteo Politano,0.6,0.4,0.4,0.5,0.0,0.0,9.0,4.0,1.7,0.9,1.0,1.3,0.0,0.6,1.2,4.0,0.9,20.5,81.7,0.5,0.9,0.1
87,Jeremie Boga,0.4,0.3,0.3,0.2,0.0,0.0,4.0,2.0,1.2,0.4,3.2,1.3,0.3,1.1,2.1,2.0,0.4,27.5,89.4,0.1,0.6,0.0
88,Hans Hateboer,1.3,0.8,0.9,0.4,0.0,0.0,2.0,1.0,1.2,0.9,0.2,0.4,0.1,0.5,1.3,1.0,0.9,38.7,87.1,0.5,0.8,0.0
89,Kevin Strootman,1.7,1.4,1.4,0.8,0.2,0.0,0.0,4.0,0.3,1.3,0.5,0.7,0.1,0.6,0.9,4.0,1.3,44.0,84.1,0.4,1.7,0.1
90,Wilfried Stephane Singo,1.0,1.0,1.0,1.3,0.1,0.0,1.0,2.0,0.4,0.9,1.9,1.8,0.1,0.5,1.5,2.0,0.9,25.5,79.9,0.6,0.9,0.0
91,Pietro Terracciano,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,50.0,0.0,7.5,0.0
92,Simone Edera,1.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.5,0.0,0.0,1.0,0.0,1.5,8.5,82.4,1.5,0.5,0.0
93,Gian Marco Ferrari,0.9,1.5,1.2,2.8,1.1,0.0,0.0,4.0,0.7,0.4,0.2,1.1,0.0,0.2,0.5,4.0,0.4,79.6,91.7,0.0,3.4,0.0
94,Ionut Radu,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,95.5,0.0,0.5,0.0
95,Alberto Paleari,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,22.3,62.7,0.0,3.0,0.0
96,Musa Barrow,0.7,0.3,0.4,0.3,0.1,0.0,8.0,8.0,2.3,1.6,0.9,0.8,0.3,1.4,2.7,8.0,1.6,26.4,77.1,0.9,1.4,0.0
97,Matthijs de Ligt,1.4,1.1,1.5,2.4,0.8,0.0,1.0,1.0,0.7,0.3,0.2,0.9,0.1,0.1,0.4,1.0,0.3,63.9,92.5,0.1,2.6,0.0
98,Nehuén Paz,1.5,1.8,0.5,2.7,0.3,0.0,1.0,0.0,0.3,0.2,0.0,0.3,0.0,0.0,0.3,0.0,0.2,39.0,83.3,0.0,1.2,0.0
99,Koray Günter,0.7,2.6,1.1,3.1,0.9,0.0,0.0,2.0,0.2,0.2,0.3,0.4,0.0,0.0,0.2,2.0,0.2,42.1,88.2,0.0,2.9,0.0
100,Franck Ribéry,0.8,0.1,1.2,0.0,0.1,0.0,2.0,6.0,0.7,1.2,2.2,2.5,0.2,2.9,2.5,6.0,1.2,29.3,89.2,0.1,1.5,0.2
101,Emil Audero,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.0,28.8,65.6,0.0,7.2,0.0
102,Elseid Hysaj,1.2,1.3,0.7,1.8,0.2,0.0,0.0,2.0,0.3,0.6,0.9,0.8,0.0,0.3,1.0,2.0,0.6,44.1,84.6,0.0,2.0,0.1
103,Marko Rog,2.9,1.4,2.4,0.9,0.4,0.0,0.0,0.0,0.6,0.6,1.4,1.6,0.0,0.9,1.4,0.0,0.6,43.7,88.1,0.1,1.6,0.0
104,Alessio Cragno,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,24.2,64.8,0.0,6.3,0.0
105,Gianluigi Donnarumma,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,29.2,77.0,0.0,5.5,0.0
106,Alexis Sánchez,0.5,0.2,0.6,0.0,0.0,0.0,7.0,5.0,1.0,1.1,0.8,1.1,0.3,1.1,1.4,5.0,1.1,16.0,80.0,0.4,0.9,0.2
107,M'Bala Nzola,0.5,0.1,2.2,0.8,0.0,0.0,11.0,3.0,1.8,0.9,1.1,1.1,1.0,1.6,3.3,3.0,0.9,18.4,84.3,0.0,0.7,0.0
108,Antonio Candreva,0.8,0.3,0.4,0.5,0.1,0.0,5.0,8.0,1.6,1.8,0.8,0.8,0.3,0.3,1.4,8.0,1.8,36.5,77.0,1.5,3.4,0.0
109,Cristián Zapata,1.5,1.3,0.5,4.7,0.9,0.0,0.0,0.0,0.3,0.1,0.1,0.4,0.0,0.2,0.4,0.0,0.1,40.8,87.1,0.0,2.0,0.0
110,Nikola Milenkovic,1.4,1.3,1.6,3.6,1.0,0.0,3.0,1.0,0.6,0.2,0.2,0.5,0.0,0.1,0.4,1.0,0.2,46.6,86.0,0.0,2.5,0.0
111,Mattia Perin,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,31.8,60.4,0.0,7.5,0.0
112,Razvan Marin,1.5,0.8,1.3,0.4,0.3,0.0,3.0,6.0,0.7,1.9,0.9,0.6,0.1,0.7,1.3,6.0,1.9,41.1,87.5,1.4,2.4,0.0
113,Léo Sena,1.4,0.7,0.4,0.2,0.3,0.0,0.0,0.0,0.1,0.1,2.3,3.8,0.0,0.7,0.6,0.0,0.1,38.1,88.7,0.1,5.3,0.0
114,Armando Izzo,1.2,2.1,1.7,2.4,0.4,0.0,2.0,0.0,0.7,0.2,0.5,1.4,0.1,0.3,0.7,0.0,0.2,46.5,81.6,0.3,4.0,0.0
115,Francesco Caputo,0.0,0.0,0.6,0.1,0.0,0.0,11.0,5.0,1.7,0.6,0.2,1.3,0.8,0.5,1.5,5.0,0.6,16.3,77.7,0.0,0.2,0.0
116,Diego Demme,2.3,0.5,1.4,0.6,0.0,0.0,2.0,3.0,0.6,0.8,0.3,1.2,0.0,0.8,0.6,3.0,0.8,51.8,89.2,0.0,2.4,0.0
117,Takehiro Tomiyasu,1.5,1.7,1.0,3.3,0.6,1.0,2.0,0.0,0.5,0.3,0.5,0.4,0.1,0.3,1.0,0.0,0.3,48.7,82.1,0.2,3.0,0.0
118,Bram Nuytinck,1.1,1.3,0.4,3.6,0.9,0.0,1.0,0.0,0.2,0.2,0.2,0.3,0.0,0.1,0.4,0.0,0.2,41.2,84.2,0.1,2.4,0.0
119,Davide Zappacosta,1.3,0.7,0.9,1.5,0.0,0.0,4.0,2.0,1.6,0.5,1.3,0.8,0.3,0.9,1.7,2.0,0.5,32.0,83.6,0.6,0.8,0.0
120,Tiemoué Bakayoko,2.2,1.1,1.1,0.3,0.1,0.0,2.0,1.0,0.5,0.4,0.8,1.6,0.0,0.6,0.8,1.0,0.4,38.2,88.3,0.0,1.4,0.0
121,Stefan Radu,1.4,1.5,0.6,2.3,0.5,0.0,0.0,3.0,0.2,0.6,0.4,0.7,0.0,0.2,0.5,3.0,0.6,49.4,85.3,0.6,3.0,0.0
122,Aaron Ramsey,1.0,0.3,0.9,0.3,0.1,0.0,2.0,4.0,1.1,1.4,0.5,0.8,0.1,0.4,1.4,4.0,1.4,31.8,87.1,0.5,1.5,0.0
123,Alessio gnoli,0.8,1.1,0.9,3.5,1.0,0.0,1.0,1.0,0.7,0.1,0.0,0.5,0.0,0.0,0.3,1.0,0.1,46.5,89.6,0.0,1.4,0.0
